policy_id,payment_date,scheduled_amount,actual_amount,status,payment_schedule
P000001,2022-08-02,65.21,65.21,Paid,Monthly
P000001,2022-09-01,65.21,65.21,Paid,Monthly
P000001,2022-10-01,65.21,65.21,Paid,Monthly
P000001,2022-10-31,65.21,65.21,Paid,Monthly
P000001,2022-11-30,65.21,65.21,Paid,Monthly
P000001,2022-12-30,65.21,65.21,Paid,Monthly
P000001,2023-01-29,65.21,65.21,Paid,Monthly
P000001,2023-02-28,65.21,65.21,Paid,Monthly
P000001,2023-03-30,65.21,65.21,Paid,Monthly
P000001,2023-04-29,65.21,65.21,Paid,Monthly
P000001,2023-05-29,65.21,65.21,Paid,Monthly
P000001,2023-06-28,65.21,65.21,Paid,Monthly
P000002,2019-08-17,151.97,151.97,Paid,Monthly
P000002,2019-09-16,151.97,151.97,Paid,Monthly
P000002,2019-10-16,151.97,151.97,Paid,Monthly
P000002,2019-11-15,151.97,151.97,Paid,Monthly
P000002,2019-12-15,151.97,151.97,Paid,Monthly
P000002,2020-01-14,151.97,151.97,Paid,Monthly
P000002,2020-02-13,151.97,151.97,Paid,Monthly
P000002,2020-03-14,151.97,151.97,Paid,Monthly
P000002,2020-04-13,151.97,159.57,Late,Monthly
P000002,2020-05-13,151.97,151.97,Paid,Monthly
P000002,2020-06-12,151.97,151.97,Paid,Monthly
P000002,2020-07-12,151.97,151.97,Paid,Monthly
P000003,2019-02-21,354.87,354.87,Paid,Semi-Annual
P000004,2020-07-17,98.72,98.72,Paid,Monthly
P000004,2020-08-16,98.72,98.72,Paid,Monthly
P000004,2020-09-15,98.72,98.72,Paid,Monthly
P000004,2020-10-15,98.72,103.66,Late,Monthly
P000004,2020-11-14,98.72,0.0,Missed,Monthly
P000004,2020-12-14,98.72,98.72,Paid,Monthly
P000004,2021-01-13,98.72,103.66,Late,Monthly
P000004,2021-02-12,98.72,98.72,Paid,Monthly
P000004,2021-03-14,98.72,98.72,Paid,Monthly
P000004,2021-04-13,98.72,98.72,Paid,Monthly
P000004,2021-05-13,98.72,98.72,Paid,Monthly
P000004,2021-06-12,98.72,98.72,Paid,Monthly
P000005,2020-05-16,59.38,59.38,Paid,Monthly
P000005,2020-06-15,59.38,59.38,Paid,Monthly
P000005,2020-07-15,59.38,59.38,Paid,Monthly
P000005,2020-08-14,59.38,59.38,Paid,Monthly
P000005,2020-09-13,59.38,59.38,Paid,Monthly
P000005,2020-10-13,59.38,59.38,Paid,Monthly
P000006,2020-04-02,255.45,255.45,Paid,Quarterly
P000006,2020-07-01,255.45,255.45,Paid,Quarterly
P000008,2019-07-29,58.4,58.4,Paid,Monthly
P000008,2019-08-28,58.4,58.4,Paid,Monthly
P000008,2019-09-27,58.4,58.4,Paid,Monthly
P000008,2019-10-27,58.4,58.4,Paid,Monthly
P000008,2019-11-26,58.4,58.4,Paid,Monthly
P000008,2019-12-26,58.4,58.4,Paid,Monthly
P000008,2020-01-25,58.4,58.4,Paid,Monthly
