artist_id|full_name|nationality|gender|birth_year|death_year
1|Robert Arneson|American|Male|1930|1992
2|Doroteo Arnaiz|Spanish|Male|1936|
3|Bill Arnold|American|Male|1941|
4|Charles Arnoldi|American|Male|1946|
5|Per Arnoldi|Danish|Male|1941|
6|Danilo Aroldi|Italian|Male|1925|
7|Bill Aron|American|Male|1941|
9|David Aronson|American|Male|1923|
10|Irene Aronson|American|Female|1918|
11|Jean (Hans) Arp|French|Male|1886|1966
12|Jüri Arrak|Estonian|Male|1936|
13|J. Arrelano Fischer|Mexican|Male|1911|1995
15|Folke Arstrom|Swedish|Male|1907|1997
16|Cristobal Arteche|Spanish|Male|1900|1964
19|Richard Artschwager|American|Male|1923|2013
21|Ruth Asawa|American|Female|1926|2013
22|Isidora Aschheim|Israeli|Female||
23|Charles Robert Ashbee|British|Male|1863|1942
24|Donald Ashcraft|American|Male|1927|
25|E. M. Ashe|American|Male|1867|1941
27|Erik Gunnar Asplund|Swedish|Male|1885|1940
28|Geneviève Asse|French|Female|1923|
30|Sergio Asti|Italian|Male|1926|
31|Dana Atchley|American|Female|1941|2000
33|A.A.P.|American|||
34|Alvar Aalto|Finnish|Male|1898|1976
35|Aino Aalto|Finnish|Female|1894|1949
36|Eero Aarnio|Finnish|Male|1932|
37|Jules Aarons|American|Male|1921|2008
38|Magdalena Abakanowicz|Polish|Female|1930|
39|James Abbe|American|Male|1883|1973
40|Jussuff Abbo|British|Male|1888|1953
41|Berenice Abbott|American|Female|1898|1991
42|Nobuya Abe|Japanese|Male|1913|1971
43|Abe Shiro (pen Name: Suichiku)|Japanese|Male|1900|
44|Robert Abel|American|Male|1937|
46|Sigmund Abeles|American|Male|1934|
47|Raimund Abraham|American|Male|1933|2010
49|Ivor Abrahams|British|Male|1935|
50|Gerald Abramovitz|British|Male|1928|2011
51|William Ross Abrams|American|Male|1920|2007
52|Rodolfo Abularach|Guatemalan|Male|1933|
53|Vito Acconci|American|Male|1940|
54|Milton Ackoff|American|Male|1915|
55|Norman Ackroyd|British|Male||
56|Luis Alberto Acuña|Colombian|Male|1904|1994
57|Henri Georges Adam|French|Male|1904|1967
58|Antoine Samuel Adam-Salomon|French|Male|1818|1881
59|Valerio Adami|Italian|Male|1935|
60|Ansel Adams|American|Male|1902|1984
61|Alice Adams|American|Female|1930|
62|Clinton Adams|American|Male|1918|2002
63|Dacres Adams|British|Male|1864|1951
64|Dennis Adams|American|Male|1948|
65|Kenneth M. Adams|American|Male|1897|1966
66|Robert Adams|American|Male|1937|
67|Shelby Lee Adams|American|Female|1950|
68|Charles Addams|American|Male|1912|1988
69|Allan Adler|American|Male|1916|2002
70|Jankel Adler|Polish|Male|1895|1949
71|Virginia Admiral|American|Female|1915|2000
72|Pic Adrian|Romanian|Male|1910|
74|Roy Adzak|British|Male|1927|1987
76|Nicholas Africano|American|Male|1948|
77|Afro (Afro Basaldella)|Italian|Male|1912|1976
78|Aftograf|Russian|||
79|Agam (Yaacov Agam)|Israeli|Male|1928|
80|Mehemed Fehmy Agha|American|Male|1896|1978
81|Kathleen Agnoli|American|Female|1945|
82|Peter Agostini|American|Male|1913|1993
83|Olympe Aguado de las Marismas|French|Male|1827|1894
84|Dongkuk S. Ahn|American|Male|1937|2013
85|Aarne Aho|Finnish|Male|1904|1978
86|Otl Aicher (also known as Otto Aicher)|German|Male|1922|1991
87|Lucien Aigner|American|Male|1901|1999
88|Gregory Ain|American|Male|1908|1988
89|Edgar Ainsworth|British|Male|1906|1975
91|Roberto Aizenberg|Argentine|Male|1928|1996
92|Kinji Akagawa|Japanese|Male|1940|
93|Ryoji Akiyama|Japanese|Male|1942|
94|Munira Al-Kazi|Kuwaiti|Female|1939|
95|Alastair (Hans H. Voight)|German|Male|1887|1969
96|Anni Albers|American|Female|1899|1994
97|Josef Albers|American|Male|1888|1976
98|Beatrice Albert|American|Female||
99|Joan Albert|American|Female|1943|2012
100|Ivan Le Lorraine Albright|American|Male|1897|1983
101|Album-miscellaneous|Various|||
103|Albert Alcalay|American|Male|1917|2008
104|L. (Alfred Lewin Copley) Alcopley|American|Male|1910|1992
105|A. Alcorn|American|||
106|Alan Aldridge|British|Male|1943|
107|Pierre Alechinsky|Belgian|Male|1927|
108|Peter Alexander|American|Male|1939|
111|Carlo Alfano|Italian|Male||
112|José R. Alicea|American|Male|1928|
114|James Alinder|American|Male|1941|
115|Yves Alix|French|Male|1890|1969
116|Wobbe Alkema|Dutch|Male|1900|1984
117|William Allan|American|Male|1936|
118|Alexander Alland|American|Male|1902|1989
119|Harry Allen|American|Male|1964|
120|Terry Allen|American|Male|1943|
121|Adrian Allinson|British|Male|1890|1959
123|Carlos Alonso|Argentine|Male|1929|
124|Glen Alps|American|Male|1914|1996
126|Henry Altchek|American|Male|1943|
127|Gerhard Altenbourg|German|Male|1926|1989
128|Hobie Alter|American|Male|1933|
129|Harold Altman|American|Male|1924|2003
131|Giacchino Altobelli|Italian|Male|1814|
132|John Altoon|American|Male|1925|1969
26|Göran Åslin|Swedish|Male|1940|
32|Atelier Eggers|French|Male||
135|Manuel Álvarez Bravo|Mexican|Male|1902|2002
136|Dag Alveng|Norwegian|Male|1953|
137|Getulio Alviani|Italian|Male|1939|
138|Edmond-François Aman Jean|French|Male|1858|1936
139|Kunihiro Amano|Japanese|Male||
140|Jim Amaral|American|Male|1933|
141|Emilio Ambasz|Argentine|Male|1943|
