investment_id,fund_id,investor_class,investor_id,call_date,investment_amount
INV000001,FUND001,ClassA,CA_8483,2023-09-24,216855
INV000002,FUND001,ClassA,CA_8483,2021-07-23,130097
INV000003,FUND001,ClassA,CA_6847,2023-10-04,160713
INV000004,FUND001,ClassA,CA_7411,2020-12-22,229450
INV000005,FUND001,ClassA,CA_8483,2020-12-08,187486
INV000006,FUND001,ClassA,CA_2231,2024-02-02,480263
INV000007,FUND001,ClassA,CA_8483,2021-02-08,261735
INV000008,FUND001,ClassA,CA_7411,2023-09-23,160696
INV000009,FUND001,ClassA,CA_7411,2023-02-21,337939
INV000010,FUND001,ClassA,CA_2494,2024-09-23,279301
INV000011,FUND001,ClassA,CA_2231,2020-11-30,413450
INV000012,FUND001,ClassA,CA_7411,2023-06-22,438126
INV000013,FUND001,ClassA,CA_7411,2020-10-04,262021
INV000014,FUND001,ClassA,CA_8483,2020-04-21,417121
INV000015,FUND001,ClassA,CA_2231,2024-08-12,383941
INV000016,FUND001,ClassA,CA_8483,2022-04-17,140723
INV000017,FUND001,ClassA,CA_6847,2023-12-27,272208
INV000018,FUND001,ClassA,CA_6847,2024-10-01,248401
INV000019,FUND001,ClassA,CA_2231,2024-05-24,356952
INV000020,FUND001,ClassA,CA_6847,2022-05-30,165883
INV000021,FUND001,ClassA,CA_8483,2022-08-30,82703
INV000022,FUND001,ClassA,CA_2494,2021-10-01,349903
INV000023,FUND001,ClassA,CA_8483,2020-10-27,151799
INV000024,FUND001,ClassA,CA_2494,2022-12-17,206045
INV000025,FUND001,ClassA,CA_6847,2021-09-27,477495
INV000026,FUND001,ClassA,CA_2231,2023-06-04,410280
INV000027,FUND001,ClassA,CA_2231,2021-02-16,414630
INV000028,FUND001,ClassA,CA_8483,2024-06-28,78844
INV000029,FUND001,ClassA,CA_7411,2023-12-09,489802
INV000030,FUND001,ClassA,CA_6847,2022-04-11,281409
INV000031,FUND001,ClassA,CA_2494,2023-07-21,376543
INV000032,FUND001,ClassA,CA_2231,2023-05-27,268836
INV000033,FUND001,ClassA,CA_6847,2022-02-23,273804
INV000034,FUND001,ClassA,CA_7411,2021-02-22,222287
INV000035,FUND001,ClassA,CA_8483,2024-08-15,61746
INV000036,FUND001,ClassA,CA_7411,2022-07-18,83613
INV000037,FUND001,ClassA,CA_2494,2022-08-16,238943
INV000038,FUND001,ClassA,CA_2231,2023-03-26,124138
INV000039,FUND001,ClassA,CA_6847,2021-09-22,346771
INV000040,FUND001,ClassA,CA_6847,2022-07-14,193338
INV000041,FUND001,ClassB,CB_1476,2021-08-15,1481849
INV000042,FUND001,ClassB,CB_8169,2020-06-04,684105
INV000043,FUND001,ClassB,CB_8169,2022-11-02,876537
INV000044,FUND001,ClassB,CB_8169,2021-09-08,1314744
INV000045,FUND001,ClassB,CB_4418,2023-01-16,679211
INV000046,FUND001,ClassB,CB_2000,2024-02-21,529932
INV000047,FUND001,ClassB,CB_2000,2021-11-03,1836536
INV000048,FUND001,ClassB,CB_7176,2023-08-13,492550
INV000049,FUND001,ClassB,CB_1476,2020-02-05,704548
INV000050,FUND001,ClassB,CB_1476,2021-11-20,651754
INV000051,FUND001,ClassB,CB_8169,2020-08-07,1613283
INV000052,FUND001,ClassB,CB_8607,2023-09-11,886643
INV000053,FUND001,ClassB,CB_8169,2023-09-23,1363062
INV000054,FUND001,ClassB,CB_1476,2022-08-29,1319864
INV000055,FUND001,ClassB,CB_7176,2022-05-23,1290927
INV000056,FUND001,ClassB,CB_7781,2022-06-10,1947873
INV000057,FUND001,ClassB,CB_2000,2020-08-25,1719030
INV000058,FUND001,ClassB,CB_7176,2024-09-11,852147
INV000059,FUND001,ClassB,CB_1476,2022-06-16,735403
INV000060,FUND001,ClassB,CB_2000,2022-04-22,1290087
INV000061,FUND001,ClassB,CB_7781,2023-06-30,957931
INV000062,FUND001,ClassB,CB_1476,2022-11-25,1135374
INV000063,FUND001,ClassB,CB_2000,2023-01-04,948036
INV000064,FUND001,ClassB,CB_7781,2024-03-23,1445626
INV000065,FUND001,ClassB,CB_4418,2021-10-13,217486
INV000066,FUND001,ClassB,CB_8607,2022-11-06,1516237
INV000067,FUND001,ClassB,CB_8607,2024-08-25,1458105
INV000068,FUND001,ClassB,CB_8169,2024-10-15,531052
INV000069,FUND001,ClassB,CB_4418,2024-02-09,1114671
INV000070,FUND001,ClassB,CB_1476,2023-06-12,1456085
INV000071,FUND001,ClassB,CB_7781,2020-11-15,934724
INV000072,FUND001,ClassB,CB_4418,2021-09-18,1182535
INV000073,FUND001,ClassB,CB_7176,2022-05-26,1765866
INV000074,FUND001,ClassB,CB_8607,2023-05-19,639410
INV000075,FUND001,ClassB,CB_2000,2022-10-13,1574086
INV000076,FUND001,ClassB,CB_2000,2021-10-15,1335257
INV000077,FUND001,ClassB,CB_7781,2024-02-17,934983
INV000078,FUND001,Institutional,IN_3012,2021-06-22,3583248
INV000079,FUND001,Institutional,IN_5930,2021-06-19,8695903
INV000080,FUND001,Institutional,IN_5380,2021-01-22,1422159
INV000081,FUND001,Institutional,IN_4729,2020-07-27,1600640
INV000082,FUND001,Institutional,IN_3012,2021-12-18,8531299
INV000083,FUND001,Institutional,IN_8046,2023-05-28,9405898
INV000084,FUND001,Institutional,IN_3012,2023-11-09,3261293
INV000085,FUND001,Institutional,IN_8046,2022-04-12,7087345
INV000086,FUND001,Institutional,IN_5930,2023-01-27,2076240
