Campaign_Name,Channel,Start_Date,Budget,Impressions,Clicks,Conversions,Revenue,ROI_Percent
Summer Email Blast,Email,2024-08-08,2500,21883,2543,87,11761.2,470.4
Product Launch Email,Email,2024-10-27,1800,20177,2461,146,8252.71,458.5
Newsletter Promotion,Email,2024-11-25,1200,9722,1116,42,5137.8,428.1
Customer Winback Email,Email,2024-10-13,3000,28659,2363,147,11706.84,390.2
Brand Awareness Social,Social Media,2024-10-21,8000,147453,7156,437,19268.56,240.9
Product Demo Social,Social Media,2024-11-17,5500,132358,6204,312,14328.19,260.5
Influencer Partnership,Social Media,2024-09-30,12000,258913,10959,412,21623.9,180.2
Video Content Campaign,Social Media,2024-08-24,7200,126622,6626,435,16630.53,231.0
Google Ads - Generic,Paid Search,2024-08-29,15000,115481,7243,241,30620.08,204.1
Google Ads - Brand,Paid Search,2024-09-03,8000,47370,3287,131,17172.21,214.7
Bing Ads Campaign,Paid Search,2024-10-21,6000,38347,1376,31,9846.44,164.1
Product Keywords,Paid Search,2024-10-04,20000,156658,5257,385,34852.46,174.3
Banner Ad Campaign,Display,2024-11-20,10000,302104,3911,175,10631.34,106.3
Retargeting Display,Display,2024-10-12,7500,165453,1324,58,11615.86,154.9
Video Display Ads,Display,2024-08-24,12000,417596,2985,214,14755.67,123.0
Blog Content Push,Content,2024-10-21,3000,41701,3246,99,9102.93,303.4
Webinar Series,Content,2024-10-13,5000,68082,3578,237,13878.47,277.6
White Paper Campaign,Content,2024-10-18,2500,34791,2985,75,9444.27,377.8
